1,HXP,22616, 87.50
1,HXP,24166, 87.50
1,OXT,24171, 165.00
1,OXT,24197, 82.50
1,OXT,24237, 282.00
1,TEC,24237, 155.00
1,YAU,21021, 170.00
2,HXP,22616, 175.00
2,HXP,24166, 87.50
2,OXT,24171, 165.00
2,OXT,24197, 165.00
2,OXT,24237, 82.50
2,TEC,24237, 155.00
2,YAU,21021, 170.00
3,HXP,22616, 175.00
3,HXP,24166, 175.00
3,MEX,24296, 165.00
3,OXT,24171, 165.00
3,OXT,24197, 165.00
3,OXT,24237, 165.00
3,TEC,24237, 155.00
3,YAU,21021, 85.00
4,HXP,22616, 87.50
4,HXP,24166, 87.50
4,MEX,24296, 165.00
4,OXT,24171, 30.00
4,OXT,24197, 30.00
4,OXT,24237, 82.50
4,TEC,24237, 155.00
4,YAU,21021, 170.00
5,HXP,22616, 175.00
5,HXP,24166, 148.00
5,OXT,24171, 30.00
5,OXT,24197, 165.00
5,OXT,24237, 30.00
5,TEC,24237, 77.50
5,YAU,21021, 170.00
Facturado por Cliente 6,CUE,24116,165.00,22.76,1892732,f8c63e58-b6bd-4c88-800d-6d0e9cdd06c4,2022-05-25 14:16:51,I
6,HXP,22616, 175.00
6,HXP,24166, 148.00
6,OXT,24171, 30.00
6,OXT,24197, 165.00
Facturado por Cliente 6,OXT,24237,165.00,22.76,1894005,667ab053-155f-422e-acd8-2507cf52914a,2022-05-26 19:19:17,I
6,TEC,24237, 230.00
6,YAU,21021, 170.00
7,HXP,22616, 175.00
7,HXP,24166, 175.00
7,OXT,24171, 165.00
7,OXT,24197, 165.00
7,OXT,24237, 165.00
7,TEC,24237, 32.00
7,YAU,21021, 170.00
8,HXP,22616, 87.50
8,HXP,24166, 175.00
8,OXT,24171, 30.00
8,OXT,24197, 165.00
8,OXT,24237, 165.00
8,TEC,24237, 32.00
8,YAU,21021, 170.00
9,HXP,22616, 87.50
9,HXP,24166, 175.00
9,OXT,24171, 30.00
9,OXT,24197, 165.00
9,OXT,24237, 82.50
9,TEC,24237, 230.00
9,YAU,21021, 170.00
10,HXP,22616, 175.00
10,HXP,24166, 175.00
10,MEX,24296, 90.00
10,OXT,24171, 30.00
10,OXT,24197, 82.50
10,OXT,24237, 282.00
10,TEC,24237, 155.00
10,YAU,21021, 170.00
11,HXP,22616, 175.00
11,HXP,24166, 175.00
11,OXT,24171, 165.00
11,OXT,24197, 165.00
11,OXT,24237, 282.00
11,TEC,24237, 155.00
11,YAU,21021, 170.00
12,HXP,22616, 175.00
12,HXP,24166, 87.50
12,MEX,24296, 82.50
12,OXT,24171, 30.00
12,OXT,24197, 165.00
12,OXT,24237, 282.00
12,TEC,24237, 32.00
Facturado por Cliente 13,CCS,24270,165.00,22.76,1879334,fad4f5fd-7fdf-4edf-a792-6fe938a82f80,2022-05-11 19:18:12,I
13,HXP,22616, 175.00
13,HXP,24166, 175.00
13,MEX,24296, 82.50
13,OXT,24171, 30.00
13,OXT,24197, 165.00
13,OXT,24237, 282.00
